exit_time,net_R,cum_net_R,drawdown_R
2025-05-26 17:00:00,-1.046,-1.046,0.0
2025-05-29 01:00:00,-0.628,-1.674,-0.628
2025-05-29 23:00:00,-1.022,-2.696,-1.65
2025-06-01 00:00:00,1.35,-1.346,-0.3
2025-06-01 13:00:00,-1.055,-2.401,-1.355
2025-06-06 21:00:00,0.207,-2.194,-1.148
2025-06-09 14:00:00,-0.437,-2.631,-1.585
2025-06-11 22:00:00,0.359,-2.272,-1.226
2025-06-13 01:00:00,2.469,0.197,0.0
2025-06-15 02:00:00,-0.429,-0.232,-0.429
2025-06-16 23:00:00,-1.043,-1.275,-1.472
2025-06-17 16:00:00,2.441,1.166,0.0
2025-06-19 17:00:00,-0.516,0.65,-0.516
2025-06-22 13:00:00,2.458,3.108,0.0
2025-06-23 14:00:00,-1.03,2.078,-1.03
2025-06-25 23:00:00,-0.102,1.976,-1.132
2025-06-26 14:00:00,-1.065,0.911,-2.197
2025-06-30 14:00:00,-1.051,-0.14,-3.248
2025-07-02 16:00:00,-1.038,-1.178,-4.286
2025-07-04 17:00:00,-0.128,-1.306,-4.414
2025-07-07 16:00:00,-1.059,-2.365,-5.473
2025-07-09 08:00:00,-1.034,-3.399,-6.507
2025-07-09 19:00:00,2.375,-1.024,-4.132
2025-07-11 14:00:00,2.465,1.441,-1.667
2025-07-11 21:00:00,-1.042,0.399,-2.709
2025-07-15 03:00:00,-1.04,-0.641,-3.749
2025-07-15 21:00:00,-1.021,-1.662,-4.77
2025-07-17 22:00:00,1.25,-0.412,-3.52
2025-07-19 19:00:00,2.473,2.061,-1.047
2025-07-21 20:00:00,0.191,2.252,-0.856
2025-07-23 13:00:00,-1.02,1.232,-1.876
2025-07-26 15:00:00,-0.134,1.098,-2.01
2025-07-28 13:00:00,-1.04,0.058,-3.05
2025-07-30 19:00:00,0.016,0.074,-3.034
2025-08-02 23:00:00,0.134,0.208,-2.9
2025-08-04 21:00:00,2.465,2.673,-0.435
2025-08-06 22:00:00,-0.082,2.591,-0.517
2025-08-09 05:00:00,0.799,3.39,0.0
2025-08-12 19:00:00,-1.017,2.373,-1.017
2025-08-14 20:00:00,-0.688,1.685,-1.705
2025-08-17 14:00:00,-0.614,1.071,-2.319
2025-08-19 07:00:00,2.451,3.522,0.0
2025-08-21 08:00:00,-0.086,3.436,-0.086
2025-08-22 14:00:00,-1.044,2.392,-1.13
2025-08-24 15:00:00,0.025,2.417,-1.105
2025-08-24 22:00:00,-1.024,1.393,-2.129
2025-08-27 06:00:00,0.182,1.575,-1.947
2025-08-30 00:00:00,0.919,2.494,-1.028
2025-08-30 08:00:00,-1.044,1.45,-2.072
2025-09-01 08:00:00,-1.034,0.416,-3.106
2025-09-05 01:00:00,-1.053,-0.637,-4.159
2025-09-07 08:00:00,0.168,-0.469,-3.991
2025-09-09 10:00:00,-0.245,-0.714,-4.236
2025-09-10 13:00:00,-1.035,-1.749,-5.271
2025-09-12 17:00:00,0.217,-1.532,-5.054
2025-09-14 13:00:00,-1.055,-2.587,-6.109
2025-09-16 14:00:00,0.065,-2.522,-6.044
2025-09-18 17:00:00,0.917,-1.605,-5.127
2025-09-19 15:00:00,-1.033,-2.638,-6.16
2025-09-21 16:00:00,0.096,-2.542,-6.064
2025-09-22 06:00:00,2.439,-0.103,-3.625
2025-09-24 07:00:00,-0.008,-0.111,-3.633
2025-09-27 02:00:00,0.46,0.349,-3.173
2025-09-28 16:00:00,-1.076,-0.727,-4.249
2025-09-30 21:00:00,0.21,-0.517,-4.039
2025-10-02 01:00:00,2.469,1.952,-1.57
2025-10-04 02:00:00,-0.149,1.803,-1.719
2025-10-07 00:00:00,-0.617,1.186,-2.336
2025-10-10 00:00:00,2.468,3.654,0.0
2025-10-10 21:00:00,-1.011,2.643,-1.011
2025-10-12 22:00:00,-0.063,2.58,-1.074
2025-10-13 19:00:00,-1.027,1.553,-2.101
2025-10-16 07:00:00,-0.163,1.39,-2.264
2025-10-17 06:00:00,2.452,3.842,0.0
2025-10-19 07:00:00,-0.727,3.115,-0.727
2025-10-21 15:00:00,-1.027,2.088,-1.754
2025-10-22 11:00:00,-1.022,1.066,-2.776
2025-10-22 19:00:00,-1.039,0.027,-3.815
