exit_time,net_R,cum_net_R,drawdown_R
2025-05-30 19:00:00,1.015,1.015,0.0
2025-06-02 00:00:00,-0.207,0.808,-0.207
2025-06-04 13:00:00,-1.05,-0.242,-1.257
2025-06-06 19:00:00,0.579,0.337,-0.678
2025-06-10 14:00:00,0.652,0.989,-0.026
2025-06-12 19:00:00,-1.045,-0.056,-1.071
2025-06-14 20:00:00,2.189,2.133,0.0
2025-06-16 04:00:00,-1.045,1.088,-1.045
2025-06-17 00:00:00,-1.043,0.045,-2.088
2025-06-19 01:00:00,1.432,1.477,-0.656
2025-06-22 16:00:00,2.469,3.946,0.0
2025-06-23 20:00:00,-1.016,2.93,-1.016
2025-06-25 21:00:00,0.246,3.176,-0.77
2025-06-28 12:00:00,0.153,3.329,-0.617
2025-07-02 16:00:00,-1.02,2.309,-1.637
2025-07-04 17:00:00,-0.065,2.244,-1.702
2025-07-06 08:00:00,-1.067,1.177,-2.769
2025-07-06 21:00:00,2.43,3.607,-0.339
2025-07-08 22:00:00,0.683,4.29,0.0
2025-07-09 12:00:00,2.468,6.758,0.0
2025-07-11 13:00:00,1.993,8.751,0.0
2025-07-13 14:00:00,2.492,11.243,0.0
2025-07-15 15:00:00,-0.277,10.966,-0.277
2025-07-19 07:00:00,-0.23,10.736,-0.507
2025-07-21 18:00:00,0.58,11.316,0.0
2025-07-25 13:00:00,1.012,12.328,0.0
2025-07-25 22:00:00,-1.018,11.31,-1.018
2025-07-27 04:00:00,-1.052,10.258,-2.07
2025-07-28 13:00:00,-1.037,9.221,-3.107
2025-07-30 14:00:00,0.652,9.873,-2.455
2025-07-31 03:00:00,-1.023,8.85,-3.478
2025-08-02 21:00:00,1.623,10.473,-1.855
2025-08-03 10:00:00,-1.033,9.44,-2.888
2025-08-06 01:00:00,-0.777,8.663,-3.665
2025-08-07 10:00:00,-1.026,7.637,-4.691
2025-08-08 00:00:00,2.472,10.109,-2.219
2025-08-10 01:00:00,-0.071,10.038,-2.29
2025-08-11 19:00:00,-1.024,9.014,-3.314
2025-08-13 21:00:00,-0.612,8.402,-3.926
2025-08-16 13:00:00,-0.024,8.378,-3.95
2025-08-18 06:00:00,2.443,10.821,-1.507
2025-08-20 07:00:00,0.539,11.36,-0.968
2025-08-20 15:00:00,-1.055,10.305,-2.023
2025-08-22 14:00:00,-1.033,9.272,-3.056
2025-08-24 15:00:00,-0.182,9.09,-3.238
2025-08-25 00:00:00,-1.024,8.066,-4.262
2025-08-27 01:00:00,0.581,8.647,-3.681
2025-08-29 09:00:00,2.455,11.102,-1.226
2025-08-31 10:00:00,0.241,11.343,-0.985
2025-09-01 08:00:00,-1.06,10.283,-2.045
2025-09-05 07:00:00,-1.033,9.25,-3.078
2025-09-10 09:00:00,1.019,10.269,-2.059
2025-09-13 01:00:00,1.329,11.598,-0.73
2025-09-14 12:00:00,-1.033,10.565,-1.763
2025-09-17 08:00:00,-0.101,10.464,-1.864
2025-09-20 04:00:00,-0.616,9.848,-2.48
2025-09-21 09:00:00,-1.048,8.8,-3.528
2025-09-22 00:00:00,2.412,11.212,-1.116
2025-09-24 01:00:00,0.404,11.616,-0.712
2025-09-25 03:00:00,-1.034,10.582,-1.746
2025-09-27 04:00:00,0.352,10.934,-1.394
2025-09-28 17:00:00,-1.053,9.881,-2.447
2025-09-30 21:00:00,0.108,9.989,-2.339
2025-10-03 12:00:00,0.423,10.412,-1.916
2025-10-04 08:00:00,-1.043,9.369,-2.959
2025-10-07 05:00:00,0.138,9.507,-2.821
2025-10-09 14:00:00,2.065,11.572,-0.756
2025-10-10 13:00:00,-1.032,10.54,-1.788
2025-10-10 21:00:00,2.478,13.018,0.0
2025-10-12 22:00:00,-0.512,12.506,-0.512
2025-10-16 06:00:00,0.373,12.879,-0.139
2025-10-16 19:00:00,2.45,15.329,0.0
2025-10-18 20:00:00,-0.237,15.092,-0.237
2025-10-22 00:00:00,-1.029,14.063,-1.266
2025-10-24 01:00:00,-0.032,14.031,-1.298
2025-10-27 00:00:00,2.42,16.451,0.0
2025-10-27 09:00:00,-1.055,15.396,-1.055
2025-10-28 06:00:00,-1.045,14.351,-2.1
2025-10-28 20:00:00,-1.023,13.328,-3.123
2025-10-30 21:00:00,0.978,14.306,-2.145
2025-11-03 15:00:00,2.455,16.761,0.0
2025-11-05 16:00:00,0.023,16.784,0.0
2025-11-07 16:00:00,-1.025,15.759,-1.025
2025-11-09 17:00:00,-0.229,15.53,-1.254
2025-11-10 09:00:00,2.471,18.001,0.0
2025-11-11 20:00:00,-1.012,16.989,-1.012
2025-11-13 10:00:00,-1.024,15.965,-2.036
2025-11-13 17:00:00,-1.017,14.948,-3.053
2025-11-15 18:00:00,0.346,15.294,-2.707
2025-11-17 20:00:00,2.452,17.746,-0.255
2025-11-19 21:00:00,0.095,17.841,-0.16
2025-11-22 18:00:00,0.447,18.288,0.0
2025-11-25 17:00:00,0.711,18.999,0.0
2025-12-02 18:00:00,-1.012,17.987,-1.012
2025-12-04 19:00:00,-0.098,17.889,-1.11
2025-12-07 12:00:00,1.516,19.405,0.0
2025-12-11 18:00:00,-0.778,18.627,-0.778
2025-12-12 15:00:00,-1.034,17.593,-1.812
2025-12-14 17:00:00,2.388,19.981,0.0
2025-12-16 18:00:00,0.893,20.874,0.0
2025-12-17 14:00:00,-1.052,19.822,-1.052
2025-12-17 16:00:00,2.437,22.259,0.0
2025-12-19 17:00:00,-0.334,21.925,-0.334
2025-12-23 14:00:00,-1.033,20.892,-1.367
2025-12-25 15:00:00,-0.109,20.783,-1.476
